train_loss,val_loss
3.07233,2.75234
1.49129,1.45616
1.38045,1.36226
1.31604,1.35112
1.3141,1.32172
1.32794,1.22991
1.25706,1.30121
1.2138,1.24875
1.18436,1.21753
1.20468,1.1853
1.15689,1.15728
1.1795,1.13627
1.13206,1.10952
1.08425,1.1543
1.11414,1.11667
1.11253,1.03521
1.07219,1.04504
1.0605,1.08094
1.02245,1.0774
1.06447,1.05868
1.00985,1.0649
1.02467,1.01398
1.02272,0.973433
0.983439,0.938156
0.955149,0.969887
0.988538,0.965157
1.00504,0.985717
0.984627,0.922105
1.00605,0.944773
0.93099,0.965609
0.965258,0.881499
